claim_id,classification,confidence,minimum_provable_claim,primary_evidence,does_not_prove,decision_use
C01,observed,high,"As an independent baseline confirmation of a previously known and expected precision difference, a valid four-symbol public-path fixture returned different rank-0 symbols depending only on whether NumPy was available; the result repeated across 24 insertion orders and 50 fresh-process replays.","evidence/adversarial-falsification/artifacts/findings/; evidence/adversarial-falsification/verification.txt; https://github.com/jgravelle/jcodemunch-mcp/issues/398#issuecomment-5172823848","It was not an unexpected defect discovery and does not establish which result is better, how often such geometry occurs in production, normal-user impact, or whether practical risk outweighs performance value.","Confirms the known capability in a controlled local case; it is a baseline and calibration result, not evidence of answer degradation."
C02,observed,high,"All 5,000 frozen generated queries were replayed through both shipped scoring lanes of the pinned v1.108.228 against the three frozen corpora. Rank 0 was identical in every one. Ordered top-k differed in 0, 5, 11, 19, 51 and 114 queries at k of 1, 5, 10, 25, 50 and 100; top-k membership differed in 0, 4, 10, 16, 33 and 29; the exact-tie partition inside the returned top 100 differed in 130.","evidence/full-suite-replay/REPORT.md; evidence/full-suite-replay/results-summary.json; evidence/full-suite-replay/raw/; evidence/full-suite-replay/harness/compare_lanes.py","It is a mechanically generated suite over three fixed corpora on one host, so it is not a production incidence rate. It compares the scoring lane rather than a complete tool response, and it does not establish which ordering is better.","The disagreement rate within this generated suite, and the first real-embedding rank-0 result covering both actual production lanes."
C03,observed,high,"The preliminary filter that produced the earlier 33 nominations has a measured miss rate: against the complete replay it returned 5 true positives, 28 false alarms and 109 misses.","evidence/full-suite-replay/results-summary.json; evidence/adversarial-falsification/artifacts/screens/provider-text-screen.json","It does not invalidate the five confirmed findings, which the complete replay reproduces byte-identically.","Retires the earlier packet's unknown-miss-rate limitation and explains why nomination counts understated the suite."
C04,observed,moderate-high,"Among the 114 queries whose top-100 ordering differed, 103 swapped a pair of symbols holding byte-identical stored embeddings, 9 involved a NumPy float32 exact tie that float64 separates, and 2 were genuine score-order inversions. Across all 5,000 top-100 lists the pure-Python lane tied every one of 34,320 duplicate-vector groups and the NumPy lane split 97 of them.","evidence/full-suite-replay/REPORT.md; evidence/full-suite-replay/raw/disagreements.jsonl","It is measured on one host and one NumPy build, so it does not establish the split rate in other environments, and it does not show that any ordering is worse.","Identifies the dominant mechanism and points at a canonical-ordering remedy rather than a certification subsystem."
C05,observed,moderate,"In the NumPy lane, two byte-identical normalized matrix rows received different float32 scores from the same matrix-vector product, while scoring each row individually returned equal values. The effect is reproducible across fresh processes.","evidence/full-suite-replay/REPORT.md","It does not establish that this occurs under a different BLAS, thread count, or platform, and it is not a claim of run-to-run nondeterminism.","Explains why the shipped (-score, symbol_id) tie-break cannot canonicalize duplicate vectors in the NumPy lane, and shows that row order is a second consistency axis alongside installation state."
C06,observed,high,"The 10,002 boundary-targeted geometric cases produced 3,211 rank-0 changes.","evidence/adversarial-falsification/artifacts/summary.json; evidence/adversarial-falsification/artifacts/screens/geometric-numpy.jsonl; evidence/adversarial-falsification/artifacts/screens/geometric-python.jsonl","The adversarial generator yield is not a normal-use or production failure rate, and the synthetic cases do not establish which result is better.","Strong divergence-capability evidence only; no demonstrated answer degradation."
C07,observed,high,"In the final official-wheel fixed suite, 12 of 12 fixed problems had identical public rank-0, ordered top-k and membership across lanes, and the earliest full-depth divergence in any of the 120 pairs was at position 1,556, so the first 100 positions were identical in every pair.","evidence/comparison-v2/packet/SUMMARY.json; evidence/comparison-v2/RESEARCH-REPORT.md","The 120 repeated pairs are not 120 independent problems, and the purposive suite is built from only four distinct query vectors, so it does not establish prevalence or universal parity.","Strong execution-specific negative evidence for the frozen suite."
C08,observed,high,"In that same 12-problem suite, exact tie partitions differed in 8 problems and full rankings differed in 10, although public top-k did not.","evidence/comparison-v2/packet/SUMMARY.json","It does not show user-visible harm, and correlated candidate comparisons are not independent trials.","The arithmetic difference is real and, in this suite, appears far deeper than the returned results."
C09,observed,moderate,"Across 12 frozen corpus-query problems, the guarded real-embedding research candidate preserved ordered responses by exactly rescoring uncertain boundaries or falling back.","../arc4-real-embedding-certification-v1/REPORT.md; ../arc4-real-embedding-certification-v1/verification.txt","It is not the unguarded shipped NumPy lane, a universal parity certificate, or an official product benchmark.","Supports exact boundary checking and fallback as one available risk control, secondary to canonical ordering."
C10,limitation,high,"The guarded candidate was measured against package version 1.108.212, not the 1.108.228 pinned by every other strand here, and was not an official released implementation, so neither its timing nor its parity result is used as product evidence in this synthesis.","../arc4-real-embedding-certification-v1/claims.json; ../arc4-real-embedding-certification-v1/REPORT.md; https://github.com/jgravelle/jcodemunch-mcp/issues/398#issuecomment-5175071271","This does not negate the candidate's observed ordered parity on its own frozen suite at its own version.","Keeps performance and parity claims tied to the pinned release rather than a research prototype at an earlier version."
